Month,CAD_10Y,UK_10Y,US_10Y,CAD_UK_spread,US_UK_spread,CAD_US_spread
2010-01,3.4850000000000003,4.42642115,3.793,0.94142115,-0.6334211500000002,0.30799999999999983
2010-02,3.4236842105263157,4.52623495,3.611,1.1025507394736844,-0.9152349499999999,0.18731578947368455
2010-03,3.4904347826086957,4.585614957,3.626,1.095180174391304,-0.9596149569999999,0.13556521739130423
2010-04,3.6700000000000004,4.57120105,3.838,0.9012010499999996,-0.7332010499999999,0.1679999999999997
2010-05,3.4455,4.352880421,3.693,0.907380421,-0.659880421,0.24750000000000005
2010-06,3.2977272727272724,4.264132818,3.312,0.9664055452727278,-0.9521328180000004,0.014272727272727437
2010-07,3.185238095238095,4.219205227,2.943,1.0339671317619046,-1.2762052269999997,-0.24223809523809514
2010-08,2.9495238095238094,4.066869524,2.918,1.117345714476191,-1.1488695240000002,-0.03152380952380929
2010-09,2.8814285714285717,4.021294182,2.48,1.1398656105714284,-1.5412941820000001,-0.4014285714285717
2010-10,2.766,4.034023714,2.504,1.268023714,-1.530023714,-0.262
2010-11,3.0223809523809524,4.227840818,2.6,1.2054598656190474,-1.6278408179999997,-0.4223809523809523
2010-12,3.2047619047619045,4.343797095,2.806,1.1390351902380957,-1.5377970950000002,-0.39876190476190443
2011-01,3.253,4.44004365,3.354,1.1870436499999997,-1.0860436499999997,0.10099999999999998
2011-02,3.417368421052632,4.4816126,3.318,1.064244178947368,-1.1636126,-0.099368421052632
2011-03,3.2665217391304346,4.340346435,3.44,1.0738246958695652,-0.9003464349999999,0.1734782608695653
2011-04,3.3280000000000003,4.325993111,3.476,0.9979931109999995,-0.8499931109999999,0.1479999999999997
2011-05,3.151904761904762,4.1830532,3.301,1.0311484380952378,-0.8820531999999996,0.14909523809523817
2011-06,2.987727272727273,4.171340273,3.068,1.1836130002727274,-1.1033402730000001,0.08027272727272727
2011-07,2.9385000000000003,4.156786333,3.166,1.218286333,-0.9907863330000004,0.2274999999999996
2011-08,2.4463636363636363,3.871816773,2.801,1.4254531366363636,-1.0708167729999998,0.35463636363636386
2011-09,2.1966666666666668,3.637958818,2.223,1.4412921513333332,-1.4149588180000001,0.026333333333333098
2011-10,2.2960000000000003,3.433595571,1.929,1.1375955709999999,-1.504595571,-0.3670000000000002
2011-11,2.1223809523809525,3.184151636,2.133,1.0617706836190477,-1.0511516360000002,0.010619047619047528
2011-12,1.9919999999999998,3.1508976,2.072,1.1588976000000002,-1.0788976,0.0800000000000003
2012-01,1.98,3.06811719,1.913,1.0881171900000002,-1.1551171900000001,-0.06699999999999995
2012-02,2.021,3.265019476,1.799,1.244019476,-1.466019476,-0.22199999999999998
2012-03,2.106818181818182,3.327816682,1.979,1.220998500181818,-1.3488166819999998,-0.12781818181818183
2012-04,2.0645,3.309434368,2.231,1.244934368,-1.078434368,0.1665000000000001
2012-05,1.9222727272727271,3.160956727,1.92,1.2386839997272727,-1.240956727,-0.002272727272727204
2012-06,1.7476190476190478,3.019799105,1.565,1.2721800573809523,-1.4547991050000002,-0.1826190476190479
2012-07,1.6561904761904762,2.943701364,1.654,1.2875108878095236,-1.289701364,-0.002190476190476298
2012-08,1.8268181818181817,2.969633818,1.495,1.1428156361818185,-1.474633818,-0.33181818181818157
2012-09,1.8378947368421052,3.085071,1.551,1.2471762631578949,-1.5340710000000002,-0.2868947368421053
2012-10,1.8118181818181818,3.121354652,1.638,1.3095364701818182,-1.483354652,-0.17381818181818187
2012-11,1.7380952380952381,3.074409227,1.727,1.3363139889047617,-1.3474092269999998,-0.011095238095238047
2012-12,1.7678947368421054,3.132440263,1.619,1.3645455261578945,-1.513440263,-0.1488947368421054
2013-01,1.9313636363636364,3.277433818,1.761,1.3460701816363636,-1.516433818,-0.1703636363636365
2013-02,1.9678947368421054,3.3655661,1.999,1.3976713631578948,-1.3665661,0.031105263157894747
2013-03,1.8515000000000001,3.2273919,1.879,1.3758919,-1.3483919000000002,0.027499999999999858
